Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
"The Bright Years","Sarah Dampf","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"To the Moon and Back","Eliana Ramage","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Addison's Wake","Sam Calvo","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"To Kill a Mockingbird","Harper Lee","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The River Is Waiting","Wally Lamb","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Separate Peace","John Knowles","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"White Dog Fell from the Sky","Eleanor Morse","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Where the Red Fern Grows","Wilson Rawls","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Nightingale","Kristin Hannah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Four Winds","Kristin Hannah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Women","Kristin Hannah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Great Alone","Kristin Hannah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"True Colors","Kristin Hannah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Circling the Sun","Paula McLain","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Paris Wife","Paula McLain","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Love and Ruin","Paula McLain","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"When the Stars Go Dark","Paula McLain","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Address","Fiona Davis","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Lions of Fifth Avenue","Fiona Davis","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Other Einstein","Marie Benedict","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Personal Librarian","Marie Benedict","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"First Ladies","Marie Benedict","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Alice Network","Kate Quinn","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Memoirs of a Geisha","Arthur Golden","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Red Tent","Anita Diamant","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Water for Elephants","Sara Gruen","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Night Circus","Erin Morgenstern","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Homecoming","Kate Morton","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
